pid;name;born;nationality;features
14310109150205;;1979;HKJ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA VOUSŮ hnědočerné TVAR VOUSŮ kartáčovité HUSTOTA VOUSŮ husté STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
11490713160014;;1965;RUS;2
9110609100409;;1966;MK;POSTAVA střední,BARVA VLASŮ černé,STŘIH VOUSŮ strniště,BARVA OČÍ černá,ZNALOST JAZYKŮ srbochorvatský
8540407160011;;2011;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
14180226160011;;1977;TN;2
15231113090113;;1962;UA;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné
13370502160201;;1975;SYR;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ vlnité,TVAR VOUSŮ kartáčovité HUSTOTA VOUSŮ řídké STŘIH VOUSŮ bradka STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
9030118170602;;1978;UA;POSTAVA obézní,BARVA VLASŮ šedé
17130110110020;;1975;ARM;POSTAVA střední
16500110110020;;1973;ARM;POSTAVA střední
17200110110020;;1942;ARM;POSTAVA střední
14510130030020;;1966;UA;POSTAVA střední,BARVA VLASŮ hnědočerné
7501031130013;;1962;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
17101119990001;;1958;SYR;POSTAVA hubená,BARVA VLASŮ hnědé BARVA VLASŮ šedé,TVAR VLASŮ vlnité,BARVA VOUSŮ hnědé BARVA VOUSŮ prošedivělé,BARVA OČÍ hnědá,JIZVA PRAVÁ RUKA,ZNALOST JAZYKŮ německý ZNALOST JAZYKŮ anglický
8541211141801;;1987;CZ;POSTAVA hubená,BARVA VLASŮ černé,STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
11071228160305;;1967;UA;POSTAVA střední,BARVA VLASŮ hnědočerné
10230110080014;;1960;ET;POSTAVA hubená,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
8580525150012;;1979;SK;POSTAVA střední,BARVA VLASŮ hnědé
11310811151610;;1994;CZ;POSTAVA střední,BARVA VLASŮ hnědé
8281108160407;;1974;CZ;2
11531219160012;;1953;PL;POSTAVA obézní,BARVA VLASŮ šedé BARVA VLASŮ bílé
9030131130220;;1971;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA OČÍ šedá,JIZVA PRAVÁ RUKA,ZNALOST JAZYKŮ německý ZNALOST JAZYKŮ anglický
17501119160111;;2000;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ šedá
13060228170612;;1987;CZ;POSTAVA obézní,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
10280119170707;;;;2
14271229160601;;1980;CZ;2
9220228170103;;;;2
15080306171805;;1955;CZ;POSTAVA střední,BARVA VLASŮ hnědé BARVA VLASŮ odbarvené,TVAR VLASŮ rovné,TVAR VOUSŮ hladké STŘIH VOUSŮ knír,BARVA OČÍ modrá
23350129171411;;1999;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA OČÍ hnědá,TETOVÁNÍ LEVÁ RUKA
10560627120407;;1975;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné
14381031140707;;1988;RO;POSTAVA střední
9100415090014;;1968;HR;POSTAVA střední,BARVA VLASŮ hnědé
9391215160011;;1982;ARM;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné
9350220170115;;1990;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA VOUSŮ černé TVAR VOUSŮ hladké HUSTOTA VOUSŮ středně husté STŘIH VOUSŮ bradka,BARVA OČÍ hnědá
13150314120510;;1988;PK;POSTAVA hubená,BARVA VLASŮ černé,BARVA OČÍ hnědá
14081204150011;;1989;ET;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ kudrnaté
8410625130012;;1975;UA;POSTAVA střední
7370211150012;;1981;B;POSTAVA střední,BARVA VLASŮ hnědočerné
9501130115030;;1978;RUS;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,STŘIH VOUSŮ oholen,BARVA OČÍ hnědá
9091111080020;;1977;TR;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9091111080020;;1977;TR;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
19490220140011;;1983;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ vlnité,STŘIH VOUSŮ plnovous,BARVA OČÍ modrá
18400820990609;;1970;CZ;POSTAVA střední,BARVA VLASŮ černé,STŘIH VOUSŮ oholen STŘIH VOUSŮ plnovous STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
8301129020409;;1976;IRQ;POSTAVA hubená,BARVA VLASŮ černé,TVAR VLASŮ kudrnaté,STŘIH VOUSŮ knír,ZNALOST JAZYKŮ anglický
15321228160403;;1968;WAN;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9310915150011;;1986;RL;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ hnědá
10071222150409;;1989;KWT;POSTAVA hubená,BARVA VLASŮ černé,BARVA OČÍ hnědá
12431129130115;;1979;SK;POSTAVA hubená,BARVA VLASŮ hnědé,BARVA OČÍ šedá BARVA OČÍ modrá
19061107140201;;1968;RNY;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ afro,BARVA VOUSŮ černé TVAR VOUSŮ kartáčovité HUSTOTA VOUSŮ středně husté STŘIH VOUSŮ plnovous,BARVA OČÍ hnědá
8220214171801;;1996;CZ;POSTAVA střední,BARVA VLASŮ hnědé,STŘIH VOUSŮ strniště,BARVA OČÍ modrá
10590906161801;;1970;E;2
14150713070201;;1959;BP;POSTAVA hubená,BARVA VLASŮ černé,ZNALOST JAZYKŮ anglický ZNALOST JAZYKŮ španělský
11560920100403;;1971;UA;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
7281110130115;;1972;SK;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité
8560407160011;;1987;I;POSTAVA střední,TVAR VLASŮ rovné
9540619020402;;1971;SRB;POSTAVA hubená,BARVA VLASŮ hnědočerné BARVA VLASŮ černé,TVAR VLASŮ kudrnaté,BARVA OČÍ hnědá
11230509050613;;1974;MK;POSTAVA hubená,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ hnědá
8480518040305;;1959;YU;POSTAVA střední,BARVA VLASŮ hnědočerné,STŘIH VOUSŮ oholen,BARVA OČÍ hnědá,MAT. ZNAMÉNKO PRAVÁ TVÁŘ
12560319150603;;1982;BG;2
10510827140602;;1969;CZ;POSTAVA střední,BARVA VLASŮ šedé,BARVA OČÍ hnědá
13060518160011;;1985;LAR;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ kudrnaté,BARVA OČÍ hnědá
10530907010608;;1967;UA;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ kudrnaté,BARVA OČÍ šedá BARVA OČÍ modrá
8301129020409;;1976;IRQ;POSTAVA hubená,BARVA VLASŮ černé,TVAR VLASŮ kudrnaté,STŘIH VOUSŮ knír,ZNALOST JAZYKŮ anglický
14380218151711;;1971;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
11360607050304;;1966;TR;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA VOUSŮ černé STŘIH VOUSŮ bradka,BARVA OČÍ hnědá
8420306170410;;1983;D;2
9370609160409;;1986;CZ;POSTAVA hubená,BARVA VLASŮ hnědočerné,BARVA OČÍ šedá BARVA OČÍ modrá
13370921160107;;1977;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA VOUSŮ hnědé STŘIH VOUSŮ plnovous,BARVA OČÍ šedá
13420912145030;;1972;E;BARVA VLASŮ černé,STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
9190809160012;;1983;DZ;POSTAVA střední,BARVA VLASŮ hnědé BARVA VLASŮ hnědočerné
