datetime;evaluatorName;evaluatorNote;lineupID;totalSelected;visualSelected;cbSelected;bothSelected;visualEntries;cbEntries
2017-03-16 13:01:43;evaluator1;CBRS_vs_VisualRS evaluation; 15231113090113 ;5;1;4;0;2;1,7,8,9
2017-03-16 13:02:52;evaluator1;CBRS_vs_VisualRS evaluation; 13060228170612 ;5;2;3;0;1,6;5,6,9
2017-03-16 13:03:38;evaluator1;CBRS_vs_VisualRS evaluation; 15080306171805 ;5;4;1;0;7,8,10,13;2
2017-03-16 13:04:47;evaluator1;CBRS_vs_VisualRS evaluation; 8480518040305 ;5;3;2;0;2,13,18;2,9
2017-03-16 13:06:05;evaluator1;CBRS_vs_VisualRS evaluation; 20211230160407 ;5;1;3;1;2;4,9,13
2017-03-16 13:06:48;evaluator1;CBRS_vs_VisualRS evaluation; 14330309160116 ;5;4;1;0;1,6,8,10;1
2017-03-16 13:07:41;evaluator1;CBRS_vs_VisualRS evaluation; 11180117171805 ;4;3;1;0;4,6,19;3
2017-03-16 13:08:54;evaluator1;CBRS_vs_VisualRS evaluation; 14520302990511 ;5;4;1;0;1,4,6,20;9
2017-03-16 13:10:31;evaluator1;CBRS_vs_VisualRS evaluation; 14440602161805 ;5;2;3;0;1,7;8,10,11
2017-03-16 13:12:11;evaluator1;CBRS_vs_VisualRS evaluation; 9500728151711 ;4;3;1;0;3,10,12;2
2017-03-16 13:13:33;evaluator1;CBRS_vs_VisualRS evaluation; 12031205160707 ;4;2;2;0;2,6;3,9
2017-03-16 13:14:26;evaluator1;CBRS_vs_VisualRS evaluation; 11321204140014 ;5;4;1;0;2,6,10,11;1
2017-03-16 13:16:31;evaluator1;CBRS_vs_VisualRS evaluation; 10030930160410 ;4;3;1;0;1,4,14;3
2017-03-16 13:18:13;evaluator1;CBRS_vs_VisualRS evaluation; 8510828140704 ;4;3;1;0;4,10,19;9
2017-03-16 13:19:35;evaluator1;CBRS_vs_VisualRS evaluation; 17370616060704 ;5;4;1;0;1,5,7,8;6
2017-03-16 13:20:41;evaluator1;CBRS_vs_VisualRS evaluation; 10190205080208 ;5;4;1;0;4,6,7,16;3
2017-03-16 13:21:38;evaluator1;CBRS_vs_VisualRS evaluation; 13270512150406 ;5;4;0;1;1,2,5,11;
2017-03-16 13:22:55;evaluator1;CBRS_vs_VisualRS evaluation; 13190215170014 ;5;2;3;0;1,2;1,5,19
2017-03-16 13:23:49;evaluator1;CBRS_vs_VisualRS evaluation; 13581007160707 ;5;4;1;0;1,2,3,17;20
2017-03-16 13:24:54;evaluator1;CBRS_vs_VisualRS evaluation; 12110307171801 ;5;3;2;0;5,6,8;6,20
2017-03-16 13:25:57;evaluator1;CBRS_vs_VisualRS evaluation; 11400127100602 ;4;2;1;1;2,4;6
2017-03-16 13:26:49;evaluator1;CBRS_vs_VisualRS evaluation; 11020516160613 ;4;3;1;0;2,5,9;3
2017-03-16 13:27:57;evaluator1;CBRS_vs_VisualRS evaluation; 1010719161804 ;5;2;2;1;1,3;10,11
2017-03-16 13:29:40;evaluator1;CBRS_vs_VisualRS evaluation; 9080719130107 ;4;3;1;0;2,13,19;11
2017-03-16 13:31:06;evaluator1;CBRS_vs_VisualRS evaluation; 10350228170012 ;5;2;3;0;3,18;2,8,20
2017-03-16 13:32:08;evaluator1;CBRS_vs_VisualRS evaluation; 18580109170011 ;5;3;1;1;1,4,7;3
2017-03-16 13:33:25;evaluator1;CBRS_vs_VisualRS evaluation; 11541231141909 ;5;2;2;1;9,16;6,7
